t,pressure
233.20000000000002,68651.54328966812
233.3,68656.00049910527
233.4,68660.45782548681
233.5,68664.91526881608
233.60000000000002,68669.37282909779
233.70000000000002,68673.83050633493
233.8,68678.2883005304
233.9,68682.74621168752
234.0,68687.20423980968
234.10000000000002,68691.66238490035
234.20000000000002,68696.12064696295
234.3,68700.57902599881
234.4,68705.03752201275
234.5,68709.49613500915
234.60000000000002,68713.9548649916
234.70000000000002,68718.41371196345
234.8,68722.87267592936
234.9,68727.33175689234
235.0,68731.79095485527
235.10000000000002,68736.25026982144
235.20000000000002,68740.70970179424
235.3,68745.16925077712
235.4,68749.62891677352
235.5,68754.0886997869
235.60000000000002,68758.54859981852
235.70000000000002,68763.0086168732
235.8,68767.4687509553
235.9,68771.92900206844
236.0,68776.38937021593
236.10000000000002,68780.84985540238
236.20000000000002,68785.31045763083
236.3,68789.77117690413
236.4,68794.23201322557
236.5,68798.69296659851
236.60000000000002,68803.15403702637
236.70000000000002,68807.6152245126
236.8,68812.07652905844
236.9,68816.53795066872
237.0,68820.99948934777
237.10000000000002,68825.46114509917
237.20000000000002,68829.92291792625
237.3,68834.38480783362
237.4,68838.84681482424
237.5,68843.30893890103
237.60000000000002,68847.77118006718
237.70000000000002,68852.23353832611
237.8,68856.69601368121
237.9,68861.15860613588
238.0,68865.62131569358
238.10000000000002,68870.08414235554
238.20000000000002,68874.54708612655
238.3,68879.01014701097
238.4,68883.4733250123
238.5,68887.9366201339
238.60000000000002,68892.40003238035
238.70000000000002,68896.86356175462
238.8,68901.32720825958
238.9,68905.79097189846
239.0,68910.2548526746
239.10000000000002,68914.7188505914
239.20000000000002,68919.18296565228
239.3,68923.64719785844
239.4,68928.11154721469
239.5,68932.57601372535
239.60000000000002,68937.04059739395
239.70000000000002,68941.50529822378
239.8,68945.97011621944
239.9,68950.43505138389
240.0,68954.90010371996
240.10000000000002,68959.36527323087
240.20000000000002,68963.83055991998
240.3,68968.29596379065
240.4,68972.76148484627
240.5,68977.22712309027
240.60000000000002,68981.69287852384
240.70000000000002,68986.15875115176
240.8,68990.62474097832
240.9,68995.09084800708
241.0,68999.55707224128
241.10000000000002,69004.02341368553
241.20000000000002,69008.48987234273
241.3,69012.95644821574
241.4,69017.42314130778
241.5,69021.88995162214
241.60000000000002,69026.3568791622
241.70000000000002,69030.82392393134
241.8,69035.29108593077
241.9,69039.75836516524
242.0,69044.22576163904
242.10000000000002,69048.69327535569
242.20000000000002,69053.16090631846
242.3,69057.62865453189
242.4,69062.09651999892
242.5,69066.56450272237
242.60000000000002,69071.03260270541
242.70000000000002,69075.50081995138
242.8,69079.96915446364
242.9,69084.43760624554
243.0,69088.90617530045
243.10000000000002,69093.37486162956
243.20000000000002,69097.84366523763
243.3,69102.31258612892
243.4,69106.78162430692
243.5,69111.2507797749
243.60000000000002,69115.72005253739
243.70000000000002,69120.18944259732
243.8,69124.65894995748
243.9,69129.12857462105
244.0,69133.59831659133
244.10000000000002,69138.06817587167
244.20000000000002,69142.53815246541
244.3,69147.00824637375
244.4,69151.47845760138
244.5,69155.94878615258
244.60000000000002,69160.41923203085
244.70000000000002,69164.88979523942
244.8,69169.3604757828
244.9,69173.8312736639
245.0,69178.30218888554
245.10000000000002,69182.77322145086
245.20000000000002,69187.24437136314
245.3,69191.71563862571
245.4,69196.18702324193
245.5,69200.65852521513
245.60000000000002,69205.13014454646
245.70000000000002,69209.60188124065
245.8,69214.07373530196
245.9,69218.54570673383
246.0,69223.0177955395
246.10000000000002,69227.49000172349
246.20000000000002,69231.96232528868
246.3,69236.43476623786
246.4,69240.90732457416
246.5,69245.38000030087
246.60000000000002,69249.85279342128
246.70000000000002,69254.32570393874
246.8,69258.7987318544
246.9,69263.27187717294
