t,ax,ay,az
21.5,-7.2,4.0,-8.0
21.6,-7.2,4.0,-8.0
21.700000000000003,-6.4,4.0,-8.0
21.8,-6.4,4.0,-8.0
21.900000000000002,-6.4,4.0,-8.0
22.0,-6.4,4.0,-8.0
22.1,-6.4,4.0,-8.0
22.200000000000003,-6.4,4.0,-8.0
22.3,-6.4,4.0,-8.0
22.400000000000002,-6.4,4.0,-8.0
22.5,-6.4,4.0,-8.0
22.6,-6.4,4.0,-8.0
22.700000000000003,-6.4,4.0,-8.0
22.8,-6.4,4.0,-8.0
22.900000000000002,-6.4,4.0,-8.0
23.0,-6.4,4.0,-8.0
23.1,-5.6000000000000005,4.0,-8.0
23.200000000000003,-5.6000000000000005,4.0,-8.0
23.3,-5.6000000000000005,4.0,-8.0
23.400000000000002,-5.6000000000000005,4.0,-8.0
23.5,-5.6000000000000005,4.800000000000001,-8.0
23.6,-5.6000000000000005,4.0,-8.0
23.700000000000003,-5.6000000000000005,4.800000000000001,-8.0
23.8,-5.6000000000000005,4.800000000000001,-8.0
23.900000000000002,-4.800000000000001,4.800000000000001,-8.0
24.0,-4.800000000000001,4.800000000000001,-8.0
24.1,-4.800000000000001,4.0,-8.0
24.200000000000003,-4.800000000000001,4.800000000000001,-8.0
24.3,-4.800000000000001,4.800000000000001,-8.0
24.400000000000002,-4.800000000000001,4.800000000000001,-8.0
24.5,-4.800000000000001,4.0,-8.0
24.6,-4.800000000000001,4.0,-8.0
24.700000000000003,-4.0,4.0,-8.0
24.8,-4.0,4.800000000000001,-8.0
24.900000000000002,-4.0,4.800000000000001,-8.8
25.0,-4.0,4.800000000000001,-8.0
25.1,-3.2,4.800000000000001,-8.0
25.200000000000003,-3.2,4.800000000000001,-8.0
25.3,-3.2,4.800000000000001,-8.0
25.400000000000002,-3.2,4.800000000000001,-8.0
25.5,-3.2,4.800000000000001,-8.0
25.6,-3.2,4.800000000000001,-8.0
25.700000000000003,-2.4000000000000004,4.800000000000001,-8.0
25.8,-2.4000000000000004,4.800000000000001,-8.0
25.900000000000002,-2.4000000000000004,4.800000000000001,-8.0
26.0,-2.4000000000000004,4.800000000000001,-8.0
26.1,-2.4000000000000004,4.800000000000001,-8.0
26.200000000000003,-1.6,4.800000000000001,-8.0
26.3,-1.6,4.800000000000001,-8.0
26.400000000000002,-1.6,4.800000000000001,-8.0
26.5,-0.8,4.800000000000001,-8.0
26.6,-0.8,4.800000000000001,-8.0
26.700000000000003,-0.8,4.800000000000001,-8.0
26.8,0.0,4.800000000000001,-8.0
26.900000000000002,0.0,4.800000000000001,-8.0
27.0,0.0,4.800000000000001,-8.0
27.1,0.8,4.800000000000001,-7.2
27.200000000000003,0.8,4.800000000000001,-7.2
27.3,1.6,4.800000000000001,-7.2
27.400000000000002,1.6,4.800000000000001,-7.2
27.5,1.6,4.0,-7.2
27.6,2.4000000000000004,4.0,-7.2
27.700000000000003,2.4000000000000004,4.0,-7.2
27.8,3.2,4.0,-6.4
27.900000000000002,3.2,4.0,-6.4
28.0,3.2,4.0,-6.4
28.1,4.0,4.0,-6.4
28.200000000000003,4.0,3.2,-5.6000000000000005
28.3,4.800000000000001,3.2,-5.6000000000000005
28.400000000000002,4.800000000000001,3.2,-5.6000000000000005
28.5,4.800000000000001,3.2,-4.800000000000001
28.6,5.6000000000000005,2.4000000000000004,-4.800000000000001
28.700000000000003,5.6000000000000005,2.4000000000000004,-4.800000000000001
28.8,6.4,1.6,-4.0
28.900000000000002,-4.0,3.2,-4.0
29.0,-4.0,3.2,-4.0
29.1,-3.2,2.4000000000000004,-4.0
29.200000000000003,-3.2,2.4000000000000004,-4.0
29.3,-3.2,2.4000000000000004,-4.0
29.400000000000002,-3.2,2.4000000000000004,-4.0
29.5,-3.2,1.6,-4.0
29.6,-2.4000000000000004,1.6,-4.0
29.700000000000003,-2.4000000000000004,1.6,-4.0
29.8,-2.4000000000000004,1.6,-4.0
29.900000000000002,-2.4000000000000004,0.8,-4.0
30.0,-2.4000000000000004,0.8,-4.0
30.1,-2.4000000000000004,0.8,-4.0
30.200000000000003,-2.4000000000000004,0.8,-4.0
30.3,-2.4000000000000004,0.8,-4.0
30.400000000000002,-2.4000000000000004,0.0,-4.0
30.5,-2.4000000000000004,0.0,-4.0
30.6,-2.4000000000000004,0.0,-4.0
30.700000000000003,-1.6,0.0,-4.0
30.8,-1.6,0.0,-4.0
30.900000000000002,-1.6,0.0,-4.0
31.0,-1.6,0.0,-4.0
31.1,-1.6,0.0,-4.0
31.200000000000003,-1.6,0.0,-4.0
31.3,-1.6,0.0,-4.0
31.400000000000002,-1.6,0.0,-4.0
31.5,-1.6,-0.8,-4.0
31.6,-1.6,-0.8,-4.0
31.700000000000003,-1.6,-0.8,-3.2
31.8,-1.6,-0.8,-4.0
31.900000000000002,-1.6,-0.8,-4.0
32.0,-1.6,-0.8,-4.0
32.1,-1.6,-0.8,-4.0
32.2,-1.6,-0.8,-3.2
32.300000000000004,-1.6,-0.8,-4.0
32.4,-1.6,-0.8,-4.0
32.5,-1.6,-0.8,-4.0
32.6,-1.6,-0.8,-4.0
32.7,-1.6,-0.8,-4.0
32.800000000000004,-1.6,-0.8,-3.2
32.9,-1.6,-1.6,-4.0
33.0,-1.6,-1.6,-4.0
33.1,-1.6,-1.6,-4.0
33.2,-1.6,-1.6,-3.2
33.300000000000004,-1.6,-1.6,-3.2
33.4,-1.6,-1.6,-3.2
33.5,-1.6,-1.6,-3.2
33.6,-1.6,-1.6,-3.2
33.7,-1.6,-1.6,-3.2
33.800000000000004,-1.6,-1.6,-3.2
33.9,-1.6,-1.6,-4.0
34.0,-1.6,-1.6,-3.2
34.1,-1.6,-1.6,-3.2
34.2,-1.6,-1.6,-4.0
34.300000000000004,-1.6,-1.6,-4.0
34.4,-1.6,-1.6,-3.2
34.5,-1.6,-1.6,-3.2
34.6,-1.6,-2.4000000000000004,-3.2
34.7,-1.6,-1.6,-3.2
34.800000000000004,-1.6,-1.6,-3.2
34.9,-1.6,-2.4000000000000004,-3.2
35.0,-1.6,-2.4000000000000004,-3.2
35.1,-1.6,-2.4000000000000004,-3.2
35.2,-1.6,-2.4000000000000004,-3.2
35.300000000000004,-1.6,-2.4000000000000004,-3.2
35.4,-1.6,-2.4000000000000004,-3.2
35.5,-1.6,-2.4000000000000004,-3.2
35.6,-1.6,-2.4000000000000004,-3.2
35.7,-1.6,-2.4000000000000004,-3.2
35.800000000000004,-1.6,-2.4000000000000004,-3.2
35.9,-1.6,-2.4000000000000004,-3.2
